id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,udps.heartbeat_request_counter,udps.heartbeat_response_counter,udps.pfd_management_request_counter,udps.pfd_management_response_counter,udps.association_setup_request_counter,udps.association_setup_response_counter,udps.association_update_request_counter,udps.association_update_response_counter,udps.association_release_request_counter,udps.association_release_response_counter,udps.version_not_supported_response_counter,udps.node_report_request_counter,udps.node_report_response_counter,udps.session_set_deletion_request_counter,udps.session_set_deletion_response_counter,udps.session_establishment_request_counter,udps.session_establishment_response_counter,udps.session_modification_request_counter,udps.session_modification_response_counter,udps.session_deletion_request_counter,udps.session_deletion_response_counter,udps.session_report_request_counter,udps.session_report_response_counter
0,0,"fe80::8080:23ff:fe1e:38b1","82:80:23:1e:38:b1","82:80:23",0,"ff02::2","33:33:00:00:00:02","33:33:00",0,58,6,0,0,1734870193567,1734870193567,0,1,70,1734870193567,1734870193567,0,1,70,0,0,0,0,0,70,70.0,0.0,70,70,70.0,0.0,70,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ICMPV6","Network",0,6,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,17,4,0,0,1734870208741,1734870218678,9937,44,20295,1734870208741,1734870218676,9935,22,17633,1734870208750,1734870218678,9928,22,2662,63,461.2499999999999,429.08936159331444,1155,448,801.5,361.8187852134454,1155,63,121.0,59.36489262342244,179,1,231.09302325581396,354.99100015107615,885,100,473.0952380952382,383.90583542867705,886,99,472.76190476190476,387.7196029041999,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,11,0,0,0,0
2,0,"fe80::8080:23ff:fe1e:38b1","82:80:23:1e:38:b1","82:80:23",0,"ff02::2","33:33:00:00:00:02","33:33:00",0,58,6,0,0,1734870212255,1734870212255,0,1,70,1734870212255,1734870212255,0,1,70,0,0,0,0,0,70,70.0,0.0,70,70,70.0,0.0,70,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ICMPV6","Network",0,6,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,17,4,0,0,1734870218748,1734870219561,813,26,5343,1734870218748,1734870219561,813,13,3047,1734870218751,1734870219559,808,13,2296,63,205.5,221.96274462170447,1155,63,234.3846153846154,55.614054670767146,255,63,176.6153846153846,312.6338482585068,1155,0,32.519999999999996,148.49161592494036,744,1,67.75,215.8817542502882,752,0,67.33333333333333,213.59576661336598,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,10,11
4,0,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,17,4,0,0,1734870220701,1734870226565,5864,28,12915,1734870220701,1734870226564,5863,14,11221,1734870220710,1734870226565,5855,14,1694,63,461.2499999999999,431.9691882873472,1155,448,801.5,366.844286815579,1155,63,121.0,60.189444512881416,179,1,217.18518518518516,346.35009378429146,868,56,451.0,384.7100639875871,869,50,450.38461538461536,389.32324582997836,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,0,0,0,0
5,0,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,17,4,0,0,1734870227673,1734870232719,5046,66,17748,1734870227673,1734870232717,5044,33,10941,1734870227681,1734870232719,5038,33,6807,63,268.9090909090908,306.3610101358666,1155,63,331.54545454545456,420.7242335328667,1155,63,206.27272727272725,74.47452279440631,255,0,77.63076923076925,232.03680804661477,885,0,157.625,314.60899952265373,887,0,157.43749999999997,316.7032739168912,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,0,0,21,21
6,0,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,17,4,0,0,1734870238751,1734870238787,36,50,7950,1734870238751,1734870238785,34,25,6375,1734870238753,1734870238787,34,25,1575,63,158.99999999999994,96.97464427701223,255,255,255.0,0.0,255,63,63.0,0.0,63,0,0.7346938775510203,0.7846312882516229,3,0,1.4166666666666672,0.7755316082290384,3,0,1.416666666666667,0.8805466023105077,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25
7,0,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",37857,"57.144.176.1","02:42:f5:9a:76:10","02:42:f5",80,6,4,0,0,1734870242944,1734870243100,156,7,738,1734870242944,1734870243100,156,4,342,1734870242973,1734870243065,92,3,396,66,105.42857142857143,70.99966465380228,256,66,85.5,33.87722932393773,136,66,132.0,107.4616210560775,256,0,26.0,24.041630560342615,64,0,52.0,47.46577714522327,93,0,46.0,65.05382386916237,92,2,0,0,0,6,2,0,0,1,0,0,0,3,1,0,0,1,0,0,0,3,1,0,0,"HTTP","Web",0,6,"fb.com","","","curl/7.88.1","text/plain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,"10.60.0.23","02:42:0a:64:c8:11","02:42:0a",46295,"104.244.42.193","02:42:0a:64:c8:02","02:42:0a",80,6,4,0,1,1734870242904,1734870243017,113,2,236,1734870242904,1734870242904,0,1,118,1734870243017,1734870243017,0,1,118,118,118.0,0.0,118,118,118.0,0.0,118,118,118.0,0.0,118,113,113.0,0.0,113,0,0.0,0.0,0,0,0.0,0.0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"HTTP","Web",1,1,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,"10.60.0.24","02:42:0a:64:c8:11","02:42:0a",37857,"57.144.176.1","02:42:0a:64:c8:02","02:42:0a",80,6,4,0,1,1734870242944,1734870243037,93,4,526,1734870242944,1734870243037,93,3,408,1734870242973,1734870242973,0,1,118,110,131.5,32.552521663715495,180,110,136.0,38.31448812133603,180,118,118.0,0.0,118,0,31.0,32.046840717924134,64,0,46.5,65.76093065034893,93,0,0.0,0.0,0,2,0,0,0,3,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,"HTTP","Web",0,6,"fb.com","","","curl/7.88.1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
